id,gender,program_enrolled,year_level,age,c,java,information_management,oop,python,mysql,web_development
2020-03761,Male,Bachelor of Science in Computer Science,Third Year,29,2.25,2,2.75,3,2,1.75,1.25
2020-04111,Male,Bachelor of Science in Computer Science,Third Year,21,2.25,2,2.75,2.25,2,3,2.25
2020-01305,Better not to mention,Bachelor of Science in Computer Science,Third Year,20,2.25,3,3,3,2.75,3,2.25
2020-01297,Female,Bachelor of Science in Computer Science,Third Year,20,2.25,2,2,2.75,2.75,2,2.25
2020-01281,Male,Bachelor of Science in Computer Science,Third Year,21,2.75,2.25,2,2.5,1.75,2.25,2.25
2019-00149,Male,Bachelor of Science in Information Technology,Fourth Year,21,2.75,2,2.25,2.25,2.5,2.5,1.5
2020-01186,Better not to mention,Bachelor of Science in Computer Science,Third Year,21,2.5,3,2.5,2.5,2.5,2.75,2.25
2019-01060,Female,Bachelor of Science in Computer Science,Fourth Year,26,1.25,2.25,2,2.75,1,2.25,2
2020-01290,Better not to mention,Bachelor of Science in Computer Science,Third Year,20,2.5,3,3,2.75,1.25,2.5,1.25
2020-01269,Male,Bachelor of Science in Computer Science,Third Year,22,2.25,3,2.75,2.5,2,2.25,1.75
2020-01290,Better not to mention,Bachelor of Science in Computer Science,Third Year,20,2,2.25,2.75,3,1,2.25,1.25
2020-01319,Male,Bachelor of Science in Computer Science,Third Year,21,1,2,1.25,1.5,1,1.75,1.25
2016-00294,Male,Bachelor of Science in Computer Science,Fourth Year,22,1.75,1.75,2.25,2,1.25,1.5,1.25
2020-01302,Female,Bachelor of Science in Computer Science,Third Year,22,1.75,3,2,3,1.25,2.5,3
2017-01253,Female,Bachelor of Science in Information Technology,Fourth Year,22,1,1.25,1.5,1.75,1,1.5,1.25
2019-01721,Male,Bachelor of Science in Computer Science,Third Year,22,3,3,2.25,2.5,1,1.25,1.5
2020-04110,Male,Bachelor of Science in Computer Science,Third Year,21,1.75,3,2.5,2.75,2.25,3,2.5
2020-01293,Female,Bachelor of Science in Computer Science,Third Year,21,1.5,2.5,2.75,2,1,1.25,2.25
2019-00903,Female,Bachelor of Science in Information Technology,Fourth Year,21,1.25,2,1.25,2.75,1.25,3,1.25
2017-00134,Female,Bachelor of Science in Information Technology,Fourth Year,21,1.25,2.25,2.25,2.75,1,2.25,1
2019-00206,Male,Bachelor of Science in Information Technology,Fourth Year,22,2,2,2.75,2.75,2.25,3,2
201901299,Better not to mention,Bachelor of Science in Information Technology,Fourth Year,23,1.75,2,2.25,2.75,2.25,2.5,2
2019-00998,Female,Bachelor of Science in Computer Science,Fourth Year,21,1,1.25,2.5,2.5,2,1.25,1.25
2020-01920,Female,Bachelor of Science in Information Technology,Third Year,20,2,2,3,2.5,2.25,1.25,1.5
2020-01890,Female,Bachelor of Science in Information Technology,Third Year,20,2,3,2.25,2.75,2.5,2.75,2.75
2020-01861,Male,Bachelor of Science in Information Technology,Third Year,21,2.25,2.25,2.75,2.75,2,2,1.5
2020-01950,Male,Bachelor of Science in Information Technology,Third Year,20,1.25,1.25,3,2.5,1.25,1.5,1.25
2020-01929,Male,Bachelor of Science in Information Technology,Third Year,20,2,2.5,2.25,3,2,2.75,2.5
2020-01948,Male,Bachelor of Science in Information Technology,Third Year,20,1.25,2.75,2.25,2.5,1,2.25,1.5
2020-01858,Male,Bachelor of Science in Information Technology,Third Year,20,1,2,2,3,1.25,1.25,1.25
2020-1925,Female,Bachelor of Science in Information Technology,Third Year,20,2,2.25,2.75,2.75,2.25,2,2
2020-03618,Male,Bachelor of Science in Computer Science,Third Year,20,1.75,1.25,2,1.25,2.5,2.5,1.5
2020-03386,Female,Bachelor of Science in Information Technology,Third Year,20,1.75,2,2,2.5,2,2.75,2
2020-01901,Female,Bachelor of Science in Information Technology,Third Year,20,1,2,1.5,2.5,1,1.25,1.75
2019-00069,Male,Bachelor of Science in Computer Science,Fourth Year,22,2.5,2.5,3,3,1.25,3,2
2019-00097,Male,Bachelor of Science in Information Technology,Fourth Year,22,1.75,3,3,2.5,3,3,2
2019-00651,Female,Bachelor of Science in Information Technology,Fourth Year,21,1.75,2,1.25,1.25,1.25,1.5,1.5
2019-00062,Male,Bachelor of Science in Information Technology,Fourth Year,21,2,2.5,2.25,2.75,2,3,1.75
2019-00682,Male,Bachelor of Science in Information Technology,Fourth Year,20,2,3,2.25,2.25,2.5,3,1.75
2019-00910,Male,Bachelor of Science in Computer Science,Fourth Year,21,2,2,2.75,2.75,2,2,2
2019-00347,Male,Bachelor of Science in Computer Science,Fourth Year,21,1,1.5,1.75,1.25,1,1.25,1.5
2019-01775,Female,Bachelor of Science in Computer Science,Fourth Year,22,1.25,2,2,2.75,1.25,2.5,1.25
2019-01167,Male,Bachelor of Science in Computer Science,Fourth Year,21,2,3,3,3,2.5,3,1.25
2018-02362,Female,Bachelor of Science in Computer Science,Fourth Year,23,1.75,2.25,3,3,2.25,2.75,2.5
2019-00069,Male,Bachelor of Science in Computer Science,Fourth Year,22,2,2.75,2.25,2.5,1.25,2.75,2.5
2020-01889,Male,Bachelor of Science in Information Technology,Third Year,21,2,2.75,2.75,2.5,2.5,2.5,2.5
2020-01921,Male,Bachelor of Science in Information Technology,Third Year,20,2,2.5,2.5,2.25,2.75,2.75,2.5
2020-01899,Female,Bachelor of Science in Information Technology,Third Year,20,1.75,2.25,2.25,2.75,1.25,2.25,1.75
2020-01555,Female,Bachelor of Science in Information Technology,Third Year,20,1.75,2.25,2.75,2,1.75,2,1.25
2020-01940,Female,Bachelor of Science in Information Technology,Third Year,20,2.5,2.75,2.75,2.75,2,2,2.25
2018-02029,Male,Bachelor of Science in Information Technology,Third Year,23,2,2,3,2.75,2.25,2.5,2.75
2020-01906,Female,Bachelor of Science in Information Technology,Third Year,20,2.25,2.25,2.5,2.75,1.75,2.5,1.75
2020-01906,Female,Bachelor of Science in Information Technology,Third Year,20,1.75,2.5,2.25,2.25,2.25,2.75,2.25
2019-01075,Female,Bachelor of Science in Information Technology,Fourth Year,21,1.5,2,1.25,2.5,2,1.5,2
2019-00988,Female,Bachelor of Science in Computer Science,Fourth Year,23,2,2.5,2.75,2.25,2.25,1.25,1.25
2019-00069,Male,Bachelor of Science in Computer Science,Fourth Year,22,2,3,2.5,2.75,1.5,2.5,1.25
2019-00084,Female,Bachelor of Science in Information Technology,Fourth Year,21,1.75,2,1.5,2.5,2.5,2.5,2.5
2019-01166,Female,Bachelor of Science in Computer Science,Fourth Year,21,1.25,2.75,2.5,3,1,2.5,2
2019-00069,Male,Bachelor of Science in Computer Science,Third Year,22,2,2.75,2.75,2.25,1.5,2.25,1.5
2017-00107,Male,Bachelor of Science in Computer Science,Fourth Year,22,1.25,1.5,1.25,1.5,1.25,1.75,1.25
2020-01945,Male,Bachelor of Science in Information Technology,Third Year,20,2.5,2.75,2.25,2.25,2,2.25,2
2020-04112,Male,Bachelor of Science in Computer Science,Third Year,23,1.25,2.25,2.5,2.75,2.25,1.5,1.25
2019-00461,Female,Bachelor of Science in Computer Science,Fourth Year,21,3,3,3,2.5,2.75,2.75,2.5
2020-03931,Male,Bachelor of Science in Computer Science,Third Year,21,1.25,2.25,2.5,1.25,1.5,2.5,3
2020-03617,Male,Bachelor of Science in Computer Science,Third Year,20,2,2.25,2.75,2.75,2.25,2.5,2.5
2020-03383,Male,Bachelor of Science in Computer Science,Third Year,20,2,2.25,2.25,2.75,2.5,2.5,2
2019-02659,Male,Bachelor of Science in Computer Science,Third Year,22,2,2,2.75,2.75,2.75,2.5,2
2017-00878,Male,Bachelor of Science in Computer Science,Third Year,22,1.5,2.5,2.25,2.25,1.25,2.75,2.25
