id,gender,program_enrolled,year_level,age,c,java,information_management,oop,python,mysql,web_development
2020-1293,Female,Bachelor of Science in Computer Science,Third Year,21,2.25,2.5,1.5,2.75,2.5,2.25,2
2019-01775,Female,Bachelor of Science in Computer Science,Fourth Year,22,1,2.25,2.5,2.5,1.25,1.5,1.5
2020-03622,Male,Bachelor of Science in Information Technology,Third Year,21,2.75,3,1.25,3,1.25,2.25,1.25
2020-01938,Female,Bachelor of Science in Information Technology,Third Year,20,2.5,3,1.5,2.25,1.5,3,1.5
2020-01896,Female,Bachelor of Science in Information Technology,Third Year,19,2.75,2.5,1.5,2.75,2.5,2.25,1.25
2020-01923,Female,Bachelor of Science in Information Technology,Third Year,20,2.25,2.75,2.5,2,1.75,2,1.5
2020-03610,Better not to mention,Bachelor of Science in Information Technology,Third Year,20,2.25,2.75,2.5,2.25,2,2,1.25
2020-1895,Male,Bachelor of Science in Information Technology,Third Year,23,1,3,1.25,3,1.5,2.25,2.5
2020-03773,Male,Bachelor of Science in Information Technology,Third Year,20,2.75,2.5,2,2.25,2.5,2.75,2
2020-04111,Male,Bachelor of Science in Computer Science,Third Year,21,1.25,2.25,2.5,2.75,2.5,2.25,2
2018-02518,Male,Bachelor of Science in Computer Science,Third Year,22,1.25,1.5,1.75,2.5,1.5,2.75,2
2020-01886,Male,Bachelor of Science in Information Technology,Third Year,21,2.75,3,2.5,2.25,2,2.5,2
2020-01886,Male,Bachelor of Science in Computer Science,Third Year,21,2.75,3,2.25,2.75,2.5,2.25,2
2020-01854,Male,Bachelor of Science in Computer Science,Third Year,24,2.75,2.25,2.5,2,2.25,2.5,2
2020-04149,Male,Bachelor of Science in Information Technology,Third Year,22,2.75,2.25,2.5,2,2.5,2,2.25
2020-01861,Male,Bachelor of Science in Information Technology,Third Year,21,2.75,2.25,2,2.25,1.25,2.5,2
2019-0166,Female,Bachelor of Science in Computer Science,Fourth Year,21,1,3,3,3,2.25,2.5,1.25
